id,name,platform,year_of_Release,genre,publisher,na_Sales,eu_Sales,jp_Sales,other_Sales,global_Sales,critic_Score,user_Score,developer,rating
1,Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.95,3.77,8.45,82.53,76.0,8.0,Nintendo,E
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.67,12.75,3.79,3.28,35.5,82.0,8.3,Nintendo,E
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.92,3.28,2.95,32.76,80.0,8.0,Nintendo,E
4,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.79,89.0,8.5,Nintendo,E
5,Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,6.6,Nintendo,E
6,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.42,6.94,4.7,2.24,28.31,87.0,8.4,Nintendo,E
7,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,
8,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,8.6,Nintendo,E
9,Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,7.7,Nintendo,E
10,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,7.4,Nintendo,E
11,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.98,4.88,0.24,1.69,21.79,61.0,6.3,Good Science Studio,E
12,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.04,0.98,3.95,20.98,97.0,8.2,Rockstar North,M
13,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,9.0,Rockstar North,M
14,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.14,77.0,7.9,Nintendo,E
15,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.24,,,,
16,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.65,5.12,0.06,1.41,16.24,97.0,8.1,Rockstar North,M
17,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,8.7,Rockstar North,M
18,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,
19,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,7.1,Nintendo,E
20,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.13,,,,
21,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,8.5,Polyphony Digital,E
22,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.22,0.13,1.32,14.71,88.0,3.4,Infinity Ward Sledgehammer Games,M
23,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.68,3.67,0.11,1.13,14.58,87.0,6.3,Treyarch,M
24,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.94,5.84,0.35,2.35,14.48,,,,
25,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.22,4.09,4.35,0.76,14.42,,,,
26,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,5.3,Treyarch,M
27,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.23,0.07,1.11,13.66,83.0,4.8,Treyarch,M
28,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.58,0.08,1.28,13.46,94.0,6.3,Infinity Ward,M
29,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,3.2,Infinity Ward Sledgehammer Games,M
30,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,8.5,DMA Design,M
31,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.61,2.54,2.66,1.01,12.82,93.0,8.9,Game Arts,T
32,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.36,0.48,1.79,12.62,88.0,6.4,Treyarch,M
33,Mario Kart 7,3DS,2011,Racing,Nintendo,4.77,3.93,2.68,0.87,12.26,85.0,8.2,Retro Studios Entertainment Analysis & Development Division,E
34,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.88,6.04,0.37,1.91,12.19,97.0,8.3,Rockstar North,M
35,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,8.7,Nintendo,E
36,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,7.8,Bungie Software Bungie,M
37,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,94.0,9.2,Nintendo,E
38,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,
39,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,8.6,Polyphony Digital,E
40,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.28,3.4,3.09,0.72,11.5,,,,
41,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.34,1.2,0.74,11.34,97.0,8.9,Nintendo,E
42,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.0,98.0,7.9,Rockstar North,M
43,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,8.7,Polyphony Digital,E
44,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,90.0,8.4,Nintendo,E
45,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,7.5,Polyphony Digital,E
46,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,6.3,Infinity Ward,M
47,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,7.5,Rockstar North,M
48,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,
49,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.06,1.25,0.97,10.3,,,,
