,genre,publisher,critic_Score,user_Score,developer,cluster
0,0,0,76.0,8.0,0,6
1,1,0,82.0,8.3,0,6
2,0,0,80.0,8.0,0,6
3,2,0,89.0,8.5,0,77
4,3,0,58.0,6.6,0,70
5,2,0,87.0,8.4,0,36
6,4,0,0.0,0.0,1,10
7,1,0,91.0,8.6,0,77
8,0,0,80.0,7.7,0,6
9,0,0,80.0,7.4,0,6
10,3,1,61.0,6.3,2,70
11,5,2,97.0,8.2,3,77
12,5,2,95.0,9.0,3,77
13,3,0,77.0,7.9,0,39
14,6,0,0.0,0.0,1,10
15,5,2,97.0,8.1,3,77
16,5,2,95.0,8.7,3,77
17,6,0,0.0,0.0,1,10
18,7,0,77.0,7.1,0,39
19,6,0,0.0,0.0,1,10
20,1,3,95.0,8.5,4,77
21,8,4,88.0,3.4,5,77
22,8,4,87.0,6.3,6,77
23,8,4,0.0,0.0,1,97
24,6,0,0.0,0.0,1,10
25,8,4,83.0,5.3,6,72
26,8,4,83.0,4.8,6,72
27,8,4,94.0,6.3,7,77
28,8,4,88.0,3.2,5,77
29,5,2,97.0,8.5,8,77
30,9,0,93.0,8.9,9,77
31,8,4,88.0,6.4,6,77
32,1,0,85.0,8.2,10,36
33,5,2,97.0,8.3,3,77
34,4,0,86.0,8.7,0,72
35,8,1,94.0,7.8,11,77
36,2,0,94.0,9.2,0,77
37,5,0,0.0,0.0,1,10
38,1,3,89.0,8.6,4,36
39,6,0,0.0,0.0,1,10
40,2,0,97.0,8.9,0,77
41,5,2,98.0,7.9,3,77
42,1,3,96.0,8.7,4,77
43,2,0,90.0,8.4,0,77
44,1,3,84.0,7.5,4,36
45,8,4,94.0,6.3,7,77
46,5,2,98.0,7.5,3,77
47,6,0,0.0,0.0,1,10
48,2,0,0.0,0.0,1,10
49,8,4,73.0,2.6,7,39
50,3,5,74.0,7.8,12,39
51,1,0,83.0,8.7,0,6
52,8,1,91.0,7.9,13,77
53,2,0,78.0,7.2,0,6
54,6,3,92.0,9.2,14,77
55,8,1,87.0,7.0,15,77
56,1,3,93.0,9.0,4,77
57,3,5,74.0,7.3,12,39
58,8,4,71.0,2.6,7,39
59,8,4,94.0,8.4,7,77
60,4,0,88.0,8.7,0,77
61,3,1,0.0,0.0,1,10
62,3,0,72.0,7.8,16,16
63,6,6,96.0,8.4,17,77
64,0,7,82.0,4.3,18,6
65,8,1,95.0,8.2,19,77
66,3,0,68.0,7.4,20,16
67,3,0,62.0,6.3,21,70
68,5,7,88.0,6.6,22,36
69,8,0,96.0,9.2,23,77
70,6,0,0.0,0.0,1,10
71,6,3,92.0,8.7,14,77
72,4,7,86.0,7.6,24,36
73,0,8,0.0,0.0,1,38
74,6,9,90.0,8.6,14,77
75,8,7,0.0,0.0,1,97
76,6,0,83.0,8.5,25,72
77,5,2,88.0,7.6,26,77
78,8,4,83.0,5.7,27,72
79,5,0,99.0,9.1,0,77
80,2,3,0.0,0.0,1,38
81,9,0,0.0,0.0,1,97
82,2,0,97.0,9.1,28,77
83,8,4,0.0,0.0,1,97
84,8,4,84.0,7.6,6,72
85,8,7,84.0,7.4,29,72
86,1,7,85.0,8.7,30,36
87,3,5,49.0,8.0,31,31
88,8,7,85.0,7.5,29,72
89,9,3,96.0,9.1,32,77
90,5,0,95.0,9.0,0,77
91,2,3,91.0,8.9,33,36
92,9,0,92.0,9.1,34,77
93,6,6,87.0,6.4,17,72
94,1,0,88.0,9.1,0,36
95,1,0,0.0,0.0,1,10
96,1,7,82.0,8.6,35,6
97,8,7,88.0,8.5,36,77
98,2,3,0.0,0.0,1,38
99,3,5,74.0,7.3,12,39
100,8,1,93.0,7.7,37,77
101,5,3,92.0,8.3,33,77
102,0,10,0.0,0.0,38,94
103,8,4,94.0,8.4,7,77
104,5,3,96.0,8.8,33,77
105,0,7,84.0,5.0,39,36
106,0,7,0.0,0.0,1,38
107,3,0,74.0,7.4,0,39
108,5,2,95.0,8.8,40,77
109,0,7,86.0,4.3,35,36
110,5,5,85.0,6.9,12,72
111,2,0,87.0,8.6,41,36
112,8,1,97.0,8.6,19,77
113,6,6,92.0,6.4,17,77
114,6,0,76.0,9.1,25,39
115,6,3,85.0,8.9,14,72
116,8,1,83.0,7.2,11,72
117,2,0,92.0,8.6,0,77
118,5,2,95.0,9.0,40,77
119,6,4,93.0,7.3,42,77
120,5,11,87.0,8.1,43,73
121,8,1,91.0,7.8,37,77
122,0,1,73.0,7.4,23,16
123,8,1,94.0,8.3,37,77
124,0,7,82.0,5.7,18,6
125,5,12,96.0,8.8,44,77
126,5,12,94.0,9.4,44,73
127,5,12,94.0,8.7,45,73
128,6,13,92.0,7.6,46,73
129,5,14,95.0,9.1,33,73
130,2,3,95.0,6.8,47,77
131,5,15,89.0,9.2,48,73
132,6,0,87.0,8.7,49,77
133,9,3,89.0,8.9,32,77
134,8,4,76.0,6.1,11,39
135,5,16,80.0,8.9,50,47
136,4,10,67.0,7.2,51,81
137,9,0,79.0,8.8,34,72
138,5,5,91.0,8.6,52,77
139,10,5,81.0,7.7,52,72
140,1,1,92.0,8.0,53,77
141,2,0,84.0,7.8,0,72
142,6,17,81.0,8.7,48,73
143,1,0,93.0,8.3,54,77
144,5,18,96.0,8.6,55,73
145,2,0,0.0,0.0,1,10
146,11,0,0.0,0.0,1,97
147,2,19,66.0,7.1,50,95
148,8,4,85.0,7.6,6,72
149,6,13,83.0,7.3,46,73
150,6,9,94.0,8.9,14,77
151,5,5,84.0,6.7,12,72
152,6,7,85.0,6.6,14,72
153,2,0,90.0,8.5,23,77
154,8,4,81.0,5.4,27,72
155,5,5,90.0,8.8,52,77
156,5,2,97.0,7.8,3,77
157,5,20,85.0,0.0,56,73
158,0,7,94.0,8.5,57,36
159,6,13,89.0,8.8,49,73
160,2,0,0.0,0.0,1,10
161,7,0,85.0,8.6,49,72
162,2,0,84.0,8.1,0,72
163,5,7,90.0,6.1,22,77
164,3,3,0.0,0.0,1,55
165,4,0,71.0,7.6,0,16
166,6,4,88.0,4.0,42,77
167,8,7,68.0,7.6,36,81
168,4,1,0.0,0.0,1,10
169,3,21,92.0,8.5,58,73
170,6,1,80.0,6.5,59,72
171,0,8,0.0,0.0,1,38
172,5,17,84.0,7.5,48,73
173,5,0,90.0,8.0,0,77
174,0,7,89.0,8.0,18,36
175,5,15,91.0,9.0,48,73
176,5,2,86.0,8.0,26,72
177,0,4,92.0,9.2,60,36
178,11,20,0.0,0.0,1,0
179,2,3,0.0,0.0,1,38
180,3,4,82.0,8.2,61,72
181,8,0,68.0,7.1,0,81
182,6,0,0.0,0.0,1,10
183,6,6,93.0,8.5,17,77
184,5,3,88.0,8.1,62,77
185,0,7,88.0,8.0,18,36
186,1,0,88.0,8.1,23,36
187,6,17,0.0,0.0,1,90
188,9,0,0.0,0.0,1,97
189,11,4,93.0,8.2,42,77
190,10,5,81.0,7.3,52,72
191,5,3,92.0,8.7,63,77
192,1,3,88.0,9.0,33,36
193,5,16,80.0,5.4,64,47
194,5,22,62.0,7.6,43,84
195,5,18,94.0,8.7,55,73
196,1,23,0.0,0.0,1,22
197,0,4,98.0,7.7,60,77
198,5,7,82.0,8.2,65,72
199,5,20,91.0,8.6,56,73
200,4,0,73.0,7.6,0,39
201,5,0,96.0,8.9,0,77
202,3,4,86.0,8.4,66,36
203,5,0,86.0,8.4,67,72
204,8,3,93.0,7.9,33,77
205,1,1,91.0,8.2,53,36
206,5,3,86.0,8.1,68,72
207,0,7,91.0,7.9,57,36
208,0,8,0.0,0.0,1,38
209,3,4,85.0,7.9,60,36
210,5,3,0.0,0.0,1,55
211,0,7,84.0,8.2,18,36
212,5,4,76.0,7.9,6,39
213,6,24,0.0,0.0,1,22
214,5,3,94.0,8.9,63,77
215,3,0,77.0,7.9,0,39
216,0,4,97.0,7.5,60,77
217,0,12,86.0,8.9,69,36
218,8,0,81.0,8.6,0,72
219,6,2,94.0,8.7,70,77
220,1,7,82.0,9.2,35,6
221,3,5,56.0,8.2,71,70
222,8,1,84.0,6.5,15,72
223,8,3,86.0,8.1,72,72
224,8,4,0.0,4.8,73,97
225,6,13,87.0,9.0,46,73
226,8,4,0.0,4.9,73,97
227,6,1,89.0,6.5,59,77
228,0,7,0.0,4.4,18,38
229,2,0,93.0,9.0,0,77
230,3,25,79.0,7.3,74,2
231,5,12,91.0,9.3,44,73
232,5,0,0.0,0.0,1,10
233,5,20,91.0,8.9,55,73
234,5,5,80.0,7.5,52,72
235,0,7,84.0,4.2,35,36
236,2,3,85.0,8.7,75,36
237,11,4,0.0,0.0,1,97
238,0,7,80.0,7.8,35,6
239,3,3,80.0,7.5,76,6
240,1,3,80.0,7.1,4,6
241,5,5,80.0,7.2,52,72
242,0,7,0.0,0.0,1,38
243,9,17,94.0,7.3,48,73
244,5,26,0.0,0.0,1,22
245,6,6,88.0,6.2,17,77
246,0,7,95.0,7.7,18,36
247,3,14,0.0,0.0,1,94
248,8,23,96.0,9.1,77,73
249,0,7,0.0,0.0,1,38
250,6,4,91.0,7.9,42,77
